lat,long,Address,Country,State,totalCount
35.1893974,-111.6514545,"Northern Arizona University, South San Francisco Street, Flagstaff, AZ 86011, USA",United States,Arizona,2
38.965082,-77.068156,"Broad Branch Rd & MC Kinley St, Washington, DC 20015, USA",United States,District of Columbia,2
42.3774149,-71.1171011,"Harvard University-Department Physics, Harvard University, 17 Oxford Street, Cambridge, MA 02138, USA",United States,Massachusetts,2
54.7633359,-1.57858,"South Road, Durham, County Durham DH1, UK",United Kingdom,NULL,2
40.44205,-4.001345,"28691 Villanueva de la Cañada, Madrid, Spain",Spain,Community of Madrid,2
29.6246971,-81.8390025,"Old Gainesville Highway, Interlachen, FL 32148, USA",United States,Florida,2
38.0356399,-78.5151042,"Department of Astronomy, University of Virginia, 530 McCormick Road, Charlottesville, VA 22904, USA",United States,Virginia,2
47.3686498,8.5391825,"Zurich, Switzerland",Switzerland,Canton of Zurich,2
-19.8750678,-43.9698986,"Universidade Federal de Minas Gerais - Av. Antônio Carlos, 6627, Pampulha, Belo Horizonte - Minas Gerais, 31270-901, Brazil",Brazil,Minas Gerais,2
51.538352,9.9296899,"Göttingen, Germany",Germany,Lower Saxony,2
34.139033,-118.1237602,"1200 East California Boulevard, California Institute of Technology, Pasadena, CA 91125, USA",United States,California,1
39.329901,-76.6205184,"Johns Hopkins University, Baltimore, MD 21218, USA",United States,Maryland,1
35.3124092,25.1467825,"Heraklion 714 09, Greece",Greece,Crete,1
38.9466863,-76.9282662,"University of Maryland, 3100 Chesapeake Road, College Park, MD 20742, USA",United States,Maryland,1
42.3397051,-71.0897489,"Northeastern University, 360 Huntington Avenue, Boston, MA 02115, USA",United States,Massachusetts,1
37.1773363,-3.5985571,"Granada, Spain",Spain,Andalusia,1
36.0662602,-94.1717342,"Physics Building, 825 West Dickson Street, University of Arkansas, Fayetteville, AR 72701, USA",United States,Arkansas,1
37.8725651,-122.2572875,"Department of Physics, University of California Berkeley, Berkeley, CA 94720, USA",United States,California,1
34.6783045,135.052104,"University of Hyogo, ８丁目-２-２-１ Gakuen Nishimachi, Nishi Ward, Kobe, Hyogo Prefecture 651-2197, Japan",Japan,Hyogo Prefecture,1
34.8186999,135.5238873,"Osaka University, １-１ Yamadaoka, Suita, Osaka Prefecture 565-0871, Japan",Japan,Osaka Prefecture,1
54.3530737,-6.6499043,"Armagh Observatory, College Hill, Armagh BT61 9DG, UK",United Kingdom,NULL,1
-27.6029715,151.9319034,"University of Southern Queensland, West Street, Darling Heights QLD 4350, Australia",Australia,Queensland,1
-19.3258497,146.7566535,"James Cook University, 1 James Cook Drive, Townsville QLD 4811, Australia",Australia,Queensland,1
51.8125626,5.8372264,"Nijmegen, The Netherlands",The Netherlands,Gelderland,1
39.6794462,-75.7521721,"University of Delaware, 210 South College Avenue, Newark, DE 19711, USA",United States,Delaware,1
43.1093402,-78.9495214,"Niagara Falls International Airport (IAG), 2035 Niagara Falls Blvd, Niagara Falls, NY 14304, USA",United States,New York,1
33.3937923,-111.6280097,"H South, Mesa, AZ 85208, USA",United States,Arizona,1
46.3083702,6.1341338,"Observatoire de Sauverny, University of Geneva, 1290 Versoix, Switzerland",Switzerland,Geneva,1
