lat,lng,Address,Country,State,totalCount
42.3782397,-71.1154705,"Department of Earth and Planetary Sciences, Harvard University, Cambridge, MA 02138, USA",United States,Massachusetts,2
48.812995,2.23847,"Meudon, France",France,Île-de-France,2
50.98276,11.71055,"Karl Schwarzschild Observatory, Mittleres Saaletal zwischen Camburg und Göschwitz, Sternwarte 5, 07778 Tautenburg, Germany",Germany,Thuringia,2
47.350603,2.1958289,"Nançay, France",France,Centre,2
40.798193,-77.8629143,"Department of Astronomy and Astrophysics, The Pennsylvania State University, State College, PA 16801, USA",United States,Pennsylvania,2
45.4134504,11.8928197,"35131 Padua, Province of Padua, Italy",Italy,Veneto,2
46.9513468,7.4384567,"Sidlerstrasse 5, University of Bern, 3012 Berne, Switzerland",Switzerland,Canton of Bern,1
42.3606853,-71.0919811,"Department of Nuclear Science and Engineering, Massachusetts Institute of Technology, Cambridge, MA 02142, USA",United States,Massachusetts,1
41.8077414,-72.2539805,"University of Connecticut-Storrs, 115 N. Eagleville Road, Storrs, CT 06269, USA",United States,Connecticut,1
53.5678526,9.9118726,"22761 Hamburg, Germany",Germany,Hamburg,1
49.3219892,-119.6210933,"Dominion Radio Astrophysical Observatory, 717 White Lake Rd, Penticton, BC V2A 6J9, Canada",Canada,British Columbia,1
38.5976262,-80.4549026,"West Virginia, USA",United States,West Virginia,1
32.87535,-117.240006,"Physics Department, University of California - San Diego, Revelle College, San Diego, CA 92161, USA",United States,California,1
-41.289399,174.7676847,"Victoria University of Wellington, 19 Kelburn Parade, Wellington 6012, New Zealand",New Zealand,Wellington,1
43.07502,-87.8859444,"Physics Department, University of Wisconsin-Milwaukee, Physics Bldg, Milwaukee, WI 53211, USA",United States,Wisconsin,1
33.4209362,-111.9314138,"ASU School of Earth and Space Exploration, George M. Bateman Physical Science Center, South Terrace Road, Tempe, AZ 85281, USA",United States,Arizona,1
18.5603437,73.826741,"National Centre for Radio Astrophysics - Tata Institute of Fundamental Research, Pune, Maharashtra 411007, India",India,Maharashtra,1
-37.9092617,145.1344363,"Monash Accident Research Centre, Monash University, Clayton VIC 3168, Australia",Australia,Victoria,1
42.448068,-76.4752145,"Cornell University, Ithaca, NY 14850, USA",United States,New York,1
-37.7967123,144.9642724,"School of Physics - University of Melbourne, The University of Melbourne Swanston Street, Parkville VIC 3052, Australia",Australia,Victoria,1
39.3316414,-76.6235247,"Department of Physics and Astronomy, Johns Hopkins University, Baltimore, MD 21210, USA",United States,Maryland,1
37.2283358,-80.4261399,"Department of Physics, VirginiaTech, Blacksburg, VA 24060, USA",United States,Virginia,1
45.4003087,11.8704306,"35122 Padua, Province of Padua, Italy",Italy,Veneto,1
